timestamp,open,high,low,close,volume
2024-01-02T14:30:00+00:00,4699.42,4705.87,4698.19,4700.60,442964
2024-01-02T14:35:00+00:00,4700.60,4701.19,4692.76,4698.54,357314
2024-01-02T14:40:00+00:00,4698.54,4701.01,4697.44,4701.66,387700
2024-01-02T14:45:00+00:00,4701.66,4701.87,4701.05,4701.11,197236
2024-01-02T14:50:00+00:00,4701.11,4701.71,4700.49,4700.50,175392
2024-01-02T14:55:00+00:00,4700.50,4700.60,4699.68,4699.83,164118
2024-01-02T15:00:00+00:00,4699.83,4700.07,4691.05,4691.55,290165
2024-01-02T15:05:00+00:00,4691.55,4696.20,4691.23,4695.76,440568
2024-01-02T15:10:00+00:00,4695.76,4696.29,4695.65,4696.23,147400
2024-01-02T15:15:00+00:00,4696.23,4697.25,4696.14,4697.22,129871
2024-01-02T15:20:00+00:00,4697.22,4698.55,4697.03,4698.50,159429
2024-01-02T15:25:00+00:00,4698.50,4699.09,4698.28,4698.90,127460
2024-01-02T15:30:00+00:00,4698.90,4699.83,4698.51,4699.40,170010
2024-01-02T15:35:00+00:00,4699.40,4700.40,4699.15,4700.25,183886
2024-01-02T15:40:00+00:00,4700.25,4701.20,4700.24,4700.94,104207
2024-01-02T15:45:00+00:00,4700.94,4701.63,4700.88,4701.54,174341
2024-01-02T15:50:00+00:00,4701.54,4702.51,4701.02,4702.11,160142
2024-01-02T15:55:00+00:00,4702.11,4703.20,4701.73,4702.89,170644
2024-01-02T16:00:00+00:00,4702.89,4703.41,4702.48,4702.80,128746
2024-01-02T16:05:00+00:00,4702.80,4703.02,4702.31,4702.32,164686
2024-01-02T16:10:00+00:00,4702.32,4702.59,4701.88,4702.53,189192
2024-01-02T16:15:00+00:00,4702.53,4703.37,4702.46,4703.24,150019
2024-01-02T16:20:00+00:00,4703.24,4703.50,4702.50,4702.50,101504
2024-01-02T16:25:00+00:00,4702.50,4703.60,4702.32,4703.52,170381
2024-01-02T16:30:00+00:00,4703.52,4704.21,4703.34,4703.52,120730
2024-01-02T16:35:00+00:00,4703.52,4705.04,4703.24,4704.09,194329
2024-01-02T16:40:00+00:00,4704.09,4704.56,4703.62,4704.01,181959
2024-01-02T16:45:00+00:00,4704.01,4705.77,4703.46,4705.60,179818
2024-01-02T16:50:00+00:00,4705.60,4706.21,4705.08,4705.84,169514
2024-01-02T16:55:00+00:00,4705.84,4708.00,4705.58,4707.53,164042
2024-01-02T17:00:00+00:00,4707.53,4709.46,4706.98,4709.35,140306
2024-01-02T17:05:00+00:00,4709.35,4709.37,4708.01,4708.31,174364
2024-01-02T17:10:00+00:00,4708.31,4708.69,4708.16,4708.63,199693
2024-01-02T17:15:00+00:00,4708.63,4708.86,4708.59,4708.66,186474
2024-01-02T17:20:00+00:00,4708.66,4708.73,4707.58,4707.66,155461
2024-01-02T17:25:00+00:00,4707.66,4710.17,4707.45,4709.27,198994
2024-01-02T17:30:00+00:00,4709.27,4709.54,4708.71,4709.21,185180
2024-01-02T17:35:00+00:00,4709.21,4712.22,4708.59,4711.62,159177
2024-01-02T17:40:00+00:00,4711.62,4712.23,4711.34,4712.04,130161
2024-01-02T17:45:00+00:00,4712.04,4712.99,4712.01,4712.94,192778
2024-01-02T17:50:00+00:00,4712.94,4713.16,4711.90,4712.55,109287
2024-01-02T17:55:00+00:00,4712.55,4712.87,4711.64,4711.67,163624
2024-01-02T18:00:00+00:00,4711.67,4711.97,4711.19,4711.76,161953
2024-01-02T18:05:00+00:00,4711.76,4711.78,4710.90,4711.35,153354
2024-01-02T18:10:00+00:00,4711.35,4711.65,4710.97,4711.48,161213
2024-01-02T18:15:00+00:00,4711.48,4711.92,4711.38,4711.83,185649
2024-01-02T18:20:00+00:00,4711.83,4712.22,4711.54,4712.20,114322
2024-01-02T18:25:00+00:00,4712.20,4712.62,4711.94,4712.62,158800
2024-01-02T18:30:00+00:00,4712.62,4713.14,4711.82,4712.94,109880
2024-01-02T18:35:00+00:00,4712.94,4714.06,4712.66,4713.32,172132
2024-01-02T18:40:00+00:00,4713.32,4714.60,4713.25,4714.27,112224
2024-01-02T18:45:00+00:00,4714.27,4714.96,4713.89,4714.23,121798
2024-01-02T18:50:00+00:00,4714.23,4714.49,4712.90,4713.47,121579
2024-01-02T18:55:00+00:00,4713.47,4714.31,4711.37,4712.17,134760
2024-01-02T19:00:00+00:00,4712.17,4713.74,4712.04,4713.43,195748
2024-01-02T19:05:00+00:00,4713.43,4715.14,4713.41,4714.63,194163
2024-01-02T19:10:00+00:00,4714.63,4714.66,4714.09,4714.12,196434
2024-01-02T19:15:00+00:00,4714.12,4715.03,4713.94,4714.39,107492
2024-01-02T19:20:00+00:00,4714.39,4715.40,4713.96,4715.26,107455
2024-01-02T19:25:00+00:00,4715.26,4715.41,4714.74,4714.78,124356
2024-01-02T19:30:00+00:00,4714.78,4715.11,4714.51,4715.05,174668
2024-01-02T19:35:00+00:00,4715.05,4715.06,4713.89,4714.43,181183
2024-01-02T19:40:00+00:00,4714.43,4715.74,4714.11,4715.45,134179
2024-01-02T19:45:00+00:00,4715.45,4715.63,4714.56,4715.17,131285
